asset,t,w
SPX,86,1.841805752420526e-07
SPX,87,1.8418057524727032e-07
SPX,88,1.8418057525770577e-07
SPX,89,1.841805752420526e-07
SPX,90,1.8418057524727032e-07
SPX,91,1.8418057525770577e-07
SPX,92,1.841805752420526e-07
SPX,93,1.8418057524727032e-07
SPX,94,1.8418057525770577e-07
SPX,95,1.841805752420526e-07
SPX,96,1.8418057524727032e-07
SPX,97,1.8418057525770577e-07
SPX,98,1.841805752420526e-07
SPX,99,1.8418057524727032e-07
SPX,100,1.8418057525770577e-07
SPX,101,1.841805752420526e-07
SPX,102,1.8418057524727032e-07
SPX,103,1.8418057525770577e-07
SPX,104,1.841805752420526e-07
SPX,105,1.8418057524727032e-07
SPX,106,1.8418057525770577e-07
SPX,107,1.841805752420526e-07
SPX,108,1.8418057524727032e-07
SPX,109,1.8418057525770577e-07
SPX,110,1.841805752420526e-07
SPX,111,1.8418057524727032e-07
SPX,112,1.8418057525770577e-07
SPX,113,1.841805752420526e-07
SPX,114,1.8418057524727032e-07
SPX,115,1.8418057525770577e-07
SPX,116,1.841805752420526e-07
SPX,117,1.8418057524727032e-07
SPX,118,1.8418057525771932e-07
SPX,119,1.841805752420797e-07
SPX,120,1.841805752473381e-07
SPX,121,1.8418057525873576e-07
SPX,122,1.8418057524374667e-07
SPX,123,1.841805752280664e-07
SPX,124,1.841805752643465e-07
SPX,125,1.841805752409955e-07
SPX,126,1.841805752699437e-07
SPX,127,1.8418057522002975e-07
SPX,128,1.8418057523684843e-07
SPX,129,1.8418057524874755e-07
SPX,130,1.8418057526373665e-07
SPX,131,1.84180575232349e-07
SPX,132,1.841805752551308e-07
SPX,133,1.8418057527708588e-07
SPX,134,1.8418057525450737e-07
SPX,135,1.8418057524758203e-07
SPX,136,1.8418057525311146e-07
SPX,137,1.8418057525481908e-07
SPX,138,1.8418057523264715e-07
SPX,139,1.841805752329724e-07
SPX,140,1.841805752081984e-07
SPX,141,1.8418057520372606e-07
SPX,142,1.8418057519022774e-07
SPX,143,1.84180575241768e-07
SPX,144,1.8418057528750778e-07
SPX,145,1.8418057524514258e-07
SPX,146,1.8418057525166134e-07
SPX,147,1.8418057525373488e-07
SPX,148,1.8418057522145276e-07
SPX,149,1.841805752521628e-07
SPX,150,1.8418057525194595e-07
SPX,151,1.8418057524266247e-07
SPX,152,1.8418057521760384e-07
SPX,153,1.8418057525899326e-07
SPX,154,1.8418057523602173e-07
SPX,155,1.84180575247704e-07
SPX,156,1.8418057520424105e-07
SPX,157,1.8418057518393937e-07
SPX,158,1.8418057524863913e-07
SPX,159,1.841805752366316e-07
SPX,160,1.8418057529420273e-07
SPX,161,1.8418057524564402e-07
SPX,162,1.8418057523873223e-07
SPX,163,1.841805752538433e-07
CMC200,1,0.9999998395262791
CMC200,2,0.9999997668243477
CMC200,3,0.9999997859309918
CMC200,4,0.9999998013984253
CMC200,5,0.9999998095345248
CMC200,6,0.9999998132352613
CMC200,7,0.9999998147954552
CMC200,8,0.9999998154238882
CMC200,9,0.9999998156694654
CMC200,10,0.9999998157633783
CMC200,11,0.999999815798713
CMC200,12,0.9999998158118404
CMC200,13,0.9999998158166682
CMC200,14,0.9999998158184291
CMC200,15,0.999999815819067
CMC200,16,0.9999998158192969
CMC200,17,0.9999998158193791
CMC200,18,0.9999998158194086
CMC200,19,0.999999815819419
CMC200,20,0.9999998158194228
CMC200,21,0.999999815819424
CMC200,22,0.9999998158194245
CMC200,23,0.9999998158194247
CMC200,24,0.9999998158194248
CMC200,25,0.9999998158194248
CMC200,26,0.9999998158194248
CMC200,27,0.9999998158194248
CMC200,28,0.9999998158194248
CMC200,29,0.9999998158194248
CMC200,30,0.9999998158194248
CMC200,31,0.9999998158194248
CMC200,32,0.9999998158194248
CMC200,33,0.9999998158194248
CMC200,34,0.9999998158194248
CMC200,35,0.9999998158194248
CMC200,36,0.9999998158194248
CMC200,37,0.9999998158194248
CMC200,38,0.9999998158194248
CMC200,39,0.9999998158194248
CMC200,40,0.9999998158194248
CMC200,41,0.9999998158194248
CMC200,42,0.9999998158194248
CMC200,43,0.9999998158194248
CMC200,44,0.9999998158194248
CMC200,45,0.9999998158194248
CMC200,46,0.9999998158194248
CMC200,47,0.9999998158194248
CMC200,48,0.9999998158194248
CMC200,49,0.9999998158194248
CMC200,50,0.9999998158194248
CMC200,51,0.9999998158194248
CMC200,52,0.9999998158194248
CMC200,53,0.9999998158194248
CMC200,54,0.9999998158194248
CMC200,55,0.9999998158194248
CMC200,56,0.9999998158194248
CMC200,57,0.9999998158194248
CMC200,58,0.9999998158194248
CMC200,59,0.9999998158194248
CMC200,60,0.9999998158194248
CMC200,61,0.9999998158194248
CMC200,62,0.9999998158194248
CMC200,63,0.9999998158194248
CMC200,64,0.9999998158194248
CMC200,65,0.9999998158194248
CMC200,66,0.9999998158194248
CMC200,67,0.9999998158194248
CMC200,68,0.9999998158194248
CMC200,69,0.9999998158194248
CMC200,70,0.9999998158194248
CMC200,71,0.9999998158194248
CMC200,72,0.9999998158194248
CMC200,73,0.9999998158194248
CMC200,74,0.9999998158194248
CMC200,75,0.9999998158194248
CMC200,76,0.9999998158194248
CMC200,77,0.9999998158194248
CMC200,78,0.9999998158194248
CMC200,79,0.9999998158194248
CMC200,80,0.9999998158194248
CMC200,81,0.9999998158194248
CMC200,82,0.9999998158194248
CMC200,83,0.9999998158194248
CMC200,84,0.9999998158194248
CMC200,85,0.9999998158194248
CMC200,86,0.9999998158194248
CMC200,87,0.9999998158194248
CMC200,88,0.9999998158194248
CMC200,89,0.9999998158194248
CMC200,90,0.9999998158194248
CMC200,91,0.9999998158194248
CMC200,92,0.9999998158194248
CMC200,93,0.9999998158194248
CMC200,94,0.9999998158194248
CMC200,95,0.9999998158194248
CMC200,96,0.9999998158194248
CMC200,97,0.9999998158194248
CMC200,98,0.9999998158194248
CMC200,99,0.9999998158194248
CMC200,100,0.9999998158194248
CMC200,101,0.9999998158194248
CMC200,102,0.9999998158194248
CMC200,103,0.9999998158194248
CMC200,104,0.9999998158194248
CMC200,105,0.9999998158194248
CMC200,106,0.9999998158194248
CMC200,107,0.9999998158194248
CMC200,108,0.9999998158194248
CMC200,109,0.9999998158194248
CMC200,110,0.9999998158194248
CMC200,111,0.9999998158194248
CMC200,112,0.9999998158194248
CMC200,113,0.9999998158194248
CMC200,114,0.9999998158194248
CMC200,115,0.9999998158194248
CMC200,116,0.9999998158194248
CMC200,117,0.9999998158194248
CMC200,118,0.9999998158194248
CMC200,119,0.9999998158194248
CMC200,120,0.9999998158194248
CMC200,121,0.9999998158194248
CMC200,122,0.9999998158194248
CMC200,123,0.9999998158194248
CMC200,124,0.9999998158194248
CMC200,125,0.9999998158194248
CMC200,126,0.9999998158194248
CMC200,127,0.9999998158194248
CMC200,128,0.9999998158194248
CMC200,129,0.9999998158194248
CMC200,130,0.9999998158194248
CMC200,131,0.9999998158194248
CMC200,132,0.9999998158194248
CMC200,133,0.9999998158194248
CMC200,134,0.9999998158194248
CMC200,135,0.9999998158194248
CMC200,136,0.9999998158194248
CMC200,137,0.9999998158194248
CMC200,138,0.9999998158194248
CMC200,139,0.9999998158194248
CMC200,140,0.9999998158194248
CMC200,141,0.9999998158194248
CMC200,142,0.9999998158194248
CMC200,143,0.9999998158194248
CMC200,144,0.9999998158194248
CMC200,145,0.9999998158194248
CMC200,146,0.9999998158194248
CMC200,147,0.9999998158194248
CMC200,148,0.9999998158194248
CMC200,149,0.9999998158194248
CMC200,150,0.9999998158194248
CMC200,151,0.9999998158194248
CMC200,152,0.9999998158194248
CMC200,153,0.9999998158194248
CMC200,154,0.9999998158194248
CMC200,155,0.9999998158194248
CMC200,156,0.9999998158194248
CMC200,157,0.9999998158194248
CMC200,158,0.9999998158194248
CMC200,159,0.9999998158194248
CMC200,160,0.9999998158194248
CMC200,161,0.9999998158194248
CMC200,162,0.9999998158194248
CMC200,163,0.9999998158194248
