t,r_spx_pct,r_cmc_pct,mu_spx_t_pct,mu_cmc_t_pct,p_bull_spx,p_bull_cmc
133,-1.0575658,1.3083742,0.5067366430758,1.6235782507653007,0.6322522501990598,0.6575899633278959
134,-0.71845895,3.3483891,0.3079116908177616,0.9276909178621655,0.5813211516485088,0.5917009848855195
135,-1.8065761,-2.8188348,0.1000000000000011,0.20000000000000387,0.5265764643003654,0.5199388058383728
136,-0.11894912,-5.1311145,-0.1079116908177594,-0.527690917862158,0.4713243800212959,0.4475227051195833
137,2.2762208,7.2793627,-0.30673664307580134,-1.2235782507653048,0.41898487491745107,0.37984246300107377
138,-1.1831609,-0.11109538,-0.48778525229247227,-1.8572483830236532,0.3725185746545572,0.3212120795754529
139,-0.07513072,-10.69729,-0.6431448254773943,-2.40100688917088,0.33404777492006066,0.27416924402395415
140,-0.39042836,-2.542795,-0.7660254037844374,-2.8310889132455315,0.30478631224175284,0.2395433576111018
141,-0.7262305,-6.6926675,-0.8510565162951532,-3.1286978070330367,0.2852310704948695,0.21705602839575
142,-1.2985425,-4.437027,-0.8945218953682734,-3.2808266337889567,0.2754714088347795,0.20604915340573138
143,0.88761944,0.25385112,-0.8945218953682731,-3.2808266337889567,0.2754714088347796,0.20604915340573138
144,-0.85938907,2.1566997,-0.8510565162951539,-3.128697807033039,0.2852310704948693,0.21705602839574983
145,-1.5988973,-5.2906113,-0.7660254037844404,-2.8310889132455412,0.3047863122417521,0.23954335761110102
146,-3.3682775,-0.5989748,-0.6431448254773958,-2.4010068891708856,0.3340477749200603,0.2741692440239537
147,0.95871335,3.247471,-0.4877852522924741,-1.8572483830236595,0.37251857465455673,0.32121207957545234
148,0.69661105,0.49578455,-0.30673664307580023,-1.2235782507653008,0.4189848749174513,0.37984246300107416
149,0.2153217,-0.9696894,-0.10791169081776167,-0.5276909178621659,0.4713243800212953,0.44752270511958253
150,-0.20540063,-0.019087622,0.09999999999999878,0.1999999999999957,0.5265764643003648,0.519938805838372
151,2.575656,5.8763094,0.3079116908177558,0.9276909178621454,0.5813211516485073,0.5917009848855175
152,0.41904646,-0.50041497,0.506736643075798,1.6235782507652932,0.6322522501990593,0.6575899633278951
153,-0.26471248,6.5391846,0.6877852522924751,2.2572483830236627,0.6767118089837926,0.7137291245181018
154,1.6031756,4.0483837,0.8431448254773919,2.8010068891708713,0.7129748807076218,0.7581149421275283
155,0.44675264,-1.3031485,0.9660254037844374,3.2310889132455314,0.7402177740619295,0.7903891424062379
156,0.95076424,6.421415,1.0510565162951533,3.528697807033037,0.75825622779525,0.8111587622464034
157,0.505716,2.1085608,1.0945218953682734,3.680826633788957,0.7672074817798991,0.8212676122737577
158,0.7629704,3.618404,1.0945218953682734,3.680826633788957,0.7672074817798991,0.8212676122737577
159,-1.3384598,-0.47276774,1.051056516295153,3.5286978070330357,0.75825622779525,0.8111587622464032
160,-0.31556788,4.5865903,0.9660254037844405,3.2310889132455416,0.7402177740619301,0.7903891424062388
161,-0.31275317,3.258758,0.843144825477396,2.801006889170886,0.7129748807076227,0.7581149421275295
162,2.9744415,4.219794,0.6877852522924743,2.25724838302366,0.6767118089837925,0.7137291245181014
163,-0.39562774,1.0835665,0.5067366430758004,1.6235782507653014,0.63225225019906,0.6575899633278959
